Cod,Favela_completa,Sigla,Favela,Municipio,Domicilios
29192070020,Parque São Paulo - Lauro de Freitas (BA),BA,Parque São Paulo,Lauro de Freitas,603
29192070021,Quintas do Alto Do Caji - Lauro de Freitas (BA),BA,Quintas do Alto Do Caji,Lauro de Freitas,253
29192070023,Rua da Pedreira - Lauro de Freitas (BA),BA,Rua da Pedreira,Lauro de Freitas,453
29192070025,Santa Bárbara - Lauro de Freitas (BA),BA,Santa Bárbara,Lauro de Freitas,54
29192070027,Terra Prometida - Lauro de Freitas (BA),BA,Terra Prometida,Lauro de Freitas,159
29192070028,Acalanto - Lauro de Freitas (BA),BA,Acalanto,Lauro de Freitas,185
29192070030,Aracuí - Lauro de Freitas (BA),BA,Aracuí,Lauro de Freitas,195
29192070034,Sitio Califórnia - Lauro de Freitas (BA),BA,Sitio Califórnia,Lauro de Freitas,313
29192070036,Recanto do Picuaia - Lauro de Freitas (BA),BA,Recanto do Picuaia,Lauro de Freitas,354
29192070037,Caic - Lauro de Freitas (BA),BA,Caic,Lauro de Freitas,109
29192070038,Campo do Quingoma I - Lauro de Freitas (BA),BA,Campo do Quingoma I,Lauro de Freitas,103
29192070041,Japonês - Lauro de Freitas (BA),BA,Japonês,Lauro de Freitas,716
29192070042,Lagoa da Base - Lauro de Freitas (BA),BA,Lagoa da Base,Lauro de Freitas,265
29192070043,Lavanderia - Lauro de Freitas (BA),BA,Lavanderia,Lauro de Freitas,521
29192070044,Pomar do Rio II - Lauro de Freitas (BA),BA,Pomar do Rio II,Lauro de Freitas,974
29192070046,Alpha Vida - Lauro de Freitas (BA),BA,Alpha Vida,Lauro de Freitas,120
29192070051,Vila Mar - Lauro de Freitas (BA),BA,Vila Mar,Lauro de Freitas,1035
29192070052,Pedreira Super Britas - Lauro de Freitas (BA),BA,Pedreira Super Britas,Lauro de Freitas,229
29192070053,Caixa D'água - Lauro de Freitas (BA),BA,Caixa D'água,Lauro de Freitas,807
29192070065,Chácara Taiti - Lauro de Freitas (BA),BA,Chácara Taiti,Lauro de Freitas,319
29192070068,Jardim Ipitanga - Lauro de Freitas (BA),BA,Jardim Ipitanga,Lauro de Freitas,573
29192070076,Jardim Talaya - Lauro de Freitas (BA),BA,Jardim Talaya,Lauro de Freitas,169
29192070077,Jardim Talismã - Lauro de Freitas (BA),BA,Jardim Talismã,Lauro de Freitas,518
29192070078,Maria Antonieta - Lauro de Freitas (BA),BA,Maria Antonieta,Lauro de Freitas,298
